news_source,news_link,bias_rating,community_feedback
Laramie Live,https://laramielive.com/,Center,4/4
Laredo Morning Times,https://www.lmtonline.com/,Lean Left,23/23
Las Cruces Sun-News,https://www.lcsun-news.com/,Center,14/9
Las Vegas Review-Journal,,Center,48/50
Las Vegas Sun,http://lasvegassun.com/,Lean Left,419/437
Latino Rebels,,Left,84/84
Laura Rose Junco,,Center,51/54
Lauren Duca,,Left,139/121
Laurie Roberts,,Lean Left,28/20
Law & Crime,https://lawandcrime.com/,Center,104/138
Lawfare,https://www.lawfareblog.com/,Center,34/30
Lawton Constitution,https://www.swoknews.com/,Center,12/13
Leader Publications,https://www.myleaderpaper.com/,Center,6/6
Leader-Telegram,https://www.leadertelegram.com/,Center,12/12
Leadership Now Project,https://www.leadershipnowproject.org/,Center,12/12
Leafly,,Left,60/47
Leana Wen,,Lean Left,54/69
Leesburg Today,http://www.leesburgtoday.com,Lean Right,307/290
Left Guest Commentaries,,Left,158/170
Lehigh Valley Live,https://www.lehighvalleylive.com/,Lean Left,11/13
Leo Necheles,https://www.linkedin.com/in/leo-necheles-6779781a7/,Center,33/43
Leonard Pitts Jr,,Left,165/121
Lewiston Sun Journal,https://www.sunjournal.com/,Center,3/5
Lewiston Tribune,https://lmtribune.com/,Center,16/15
Lexington Herald-Leader,http://www.kentucky.com/,Center,47/48
LGBTQ Nation,https://www.lgbtqnation.com/,Left,310/292
Life After Hate,https://www.lifeafterhate.org/,Lean Left,15/25
Lifehacker,http://www.lifehacker.com/,Center,483/489
Lima Ohio,https://www.limaohio.com/,Center,8/10
Lina Khan,https://www.ftc.gov/about-ftc/commissioners-staff/lina-m-khan,Left,14/13
Lisa Benson (cartoonist),,Right,96/89
Lisa Gable,,Right,122/131
Live 5 WCSC,https://www.live5news.com/,Center,8/12
Live Action News,http://liveactionnews.org/,Lean Right,437/312
Live Science,https://www.livescience.com/,Center,170/151
Living Lutheran,https://www.livinglutheran.org/,Center,19/11
Livingston Enterprise,https://www.livingstonenterprise.com/,Center,6/8
Log Cabin,https://logcabin.org,Right,11/21
Logan Banner,https://www.loganbanner.com/,Center,7/10
Long Beach Press-Telegram,https://www.presstelegram.com/,Center,62/71
Longmont Times-Call,http://www.timescall.com/,Lean Left,266/231
Longview News-Journal,https://www.news-journal.com/,Center,7/10
Los Alamos Daily Post,https://ladailypost.com/,Center,13/11
Los Angeles Daily News,https://www.dailynews.com/,Center,79/162
Los Angeles Times,http://www.latimes.com/,Lean Left,5331/3971
Lost Coast Outpost,https://lostcoastoutpost.com/,Center,7/9
Louisiana Illuminator,https://lailluminator.com/,Lean Left,10/11
Louisiana Radio Network,https://louisianaradionetwork.com/,Center,6/12
Lovell Chronicle,http://lovellchronicle.com/,Center,6/7
Lucas Grindley,https://www.advocate.com/lucas-grindley,Lean Left,10/10
Lucy Pinto,,Lean Left,57/72
Luke Winkie,https://twitter.com/luke_winkie,Left,19/14
Made in Alabama,https://www.madeinalabama.com/,Center,4/6
Madeleine Albright,,Lean Left,38/32
Magic Valley News,https://magicvalley.com/,Center,5/4
Magnolia State Live,https://www.magnoliastatelive.com/,Center,8/8
Main Street Nashville,https://mainstreetmediatn.com/main-street-nashville/,Center,6/6
Maine Beacon,,Lean Left,28/33
Maine Public Radio,https://www.mainepublic.org/,Lean Left,7/22
Malala Yousafzai,,Center,42/44
Malayna J. Bizier,https://www.allsides.com,Right,7/8
Malheur Enterprise,https://www.malheurenterprise.com/,Center,5/6
Manhattan Institute,http://www.manhattan-institute.org,Lean Right,420/479
Mankato Free Press,https://www.mankatofreepress.com/,Lean Left,16/22
Mansfield News Journal,https://www.mansfieldnewsjournal.com/,Center,6/6
Marc A. Thiessen,https://www.washingtonpost.com/people/marc-a-thiessen/,Right,510/311
Marc Joffe,https://reason.org/author/marc-joffe/,Lean Right,37/38
Marc Lamont Hill,https://www.marclamonthill.com/,Left,20/16
Marc Schulman,,Center,32/37
Marcia Beckford,,Lean Left,54/67
Marco Rubio,https://www.rubio.senate.gov/,Lean Right,11/14
Mariannette Miller-Meeks,,Lean Right,17/18
Marijuana Moment,,Lean Left,75/72
Mario Nicolais,https://www.marionicolais.com/,Lean Right,45/48
Mark Cannizzaro,https://nypost.com/author/mark-cannizzaro/,Center,11/12
Mark Gerzon,,Center,91/104
Mark Hertsgaard,https://www.thenation.com/authors/mark-hertsgaard/,Lean Left,45/43
Mark Mix,,Right,133/97
Mark Morford,,Left,79/65
Mark Weaver,https://twitter.com/markrweaver,Lean Right,17/15
Mark Whitaker,https://twitter.com/marktwhitaker,Lean Left,10/16
MarketWatch,https://www.marketwatch.com/,Center,552/1323
Marshall Ramsey (cartoonist),,Center,97/88
Martin Luther King III,,Lean Left,64/79
Mary O'Grady,,Right,104/128
Maryland Daily Record,https://thedailyrecord.com/,Lean Left,5/4
Maryland Matters,https://www.marylandmatters.org/,Lean Left,5/6
Maryland Reporter,https://marylandreporter.com/,Lean Right,6/7
Mashable,,Left,716/326
Masih Alinejad,,Center,75/63
MassLive.com,https://www.masslive.com/,Lean Left,51/47
Matt Bors (cartoonist),,Left,91/49
Matt Byrne,,Center,45/43
Matt Davies (cartoonist),,Left,142/80
Matt Drudge,,Right,543/588
Matt Lewis,https://www.thedailybeast.com/author/matt-lewis,Center,59/94
Matt Taibbi,https://taibbi.substack.com/,Center,103/88
Matt Towery,,Lean Right,94/86
Matt Welch,,Lean Right,150/237
Matt Wuerker (cartoonist),,Left,116/86
Matthew McConaughey,,Center,32/42
Matthew Walther,,Lean Right,157/70
Matthew Yglesias,https://twitter.com/mattyglesias,Lean Left,40/47
Maui Now News,https://mauinow.com/,Center,5/7
Maureen Callahan,,Lean Right,30/34
Maureen Dowd,https://twitter.com/MaureenDowd,Center,337/823
Max Boot,https://www.washingtonpost.com/people/max-boot/,Left,46/33
Max Karlin,,Lean Right,62/73
McClatchyDC,https://twitter.com/McClatchyDC,Center,161/231
McKenzie County Farmer,https://www.watfordcitynd.com/,Center,13/13
Meade County Messenger,https://www.meadecountyky.com/,Center,9/9
Meaws,https://meaws.com/,Lean Left,9/16
Media Matters,https://www.mediamatters.org/,Left,3473/1807
Media Research Center,https://www.mrc.org/,Right,1525/1795
Media Village,https://www.mediavillage.com/,Center,31/35
Mediaite,http://www.mediaite.com/,Lean Left,1135/1216
Mercatus Center,https://www.mercatus.org/,Lean Right,61/44
Meridian Magazine,,Lean Right,32/33
Merrick Garland,,Lean Left,30/71
Metro Philadelphia,https://metrophiladelphia.com/,Lean Left,9/11
Metro Weekly,https://www.metroweekly.com/,Left,55/49
Mexico Daily Post,https://mexicodailypost.com/,Center,74/77
Mexico News Daily,https://mexiconewsdaily.com/,Center,30/29
Miami Herald,http://www.miamiherald.com/,Lean Left,595/612
Micaela Ricaforte,,Center,72/82
Michael A. Cohen,,Lean Left,30/34
Michael Arceneaux,https://www.michael-arceneaux.com/,Left,11/14
Michael Barone,,Lean Right,193/157
Michael Brendan Dougherty,http://theweek.com/authors/michael-brendan-dougherty,Lean Right,214/221
Michael Gerson,,Lean Right,214/175
Michael Goodwin,,Right,363/150
Michael Graham,,Right,77/92
Michael Kinsley,http://www.vanityfair.com/contributor/michael-kinsley,Left,165/120
Michael Medved,https://en.wikipedia.org/wiki/Michael_Medved,Right,187/260
Michael Ramirez (cartoonist),,Right,154/160
Michael Strong,,Lean Right,45/46
Michael Tauberg,,Center,49/65
Michelle Alexander,,Lean Left,248/191
Michelle Goldberg,,Left,187/169
Michelle Malkin,,Right,646/329
MichelleMalkin.com,http://michellemalkin.com/,Right,706/367
Michigan Advance,https://michiganadvance.com/,Center,6/9
Michigan Chronicle,https://michiganchronicle.com/,Lean Left,8/10
Michigan Daily,https://www.michigandaily.com/,Lean Left,343/314
Middle East Eye,https://www.middleeasteye.net/,Left,1/0
MidWeek,https://www.midweek.com/,Center,6/7
Migration Policy Institute,,Center,29/45
Mike Huckabee,,Lean Right,130/184
Mike Lester (cartoonist),,Right,64/57
Mike Luckovich (cartoonist),,Left,185/160
Mike Pence,,Right,378/172
Mike Thompson (cartoonist),,Center,93/117
Military Times,https://www.militarytimes.com/,Center,225/259
Millennial Action Project,https://www.millennialaction.org/,Center,11/20
Milwaukee Journal Sentinel,https://www.jsonline.com/,Center,38/73
Minnesota Lawyer,https://minnlawyer.com,Center,22/29
Minnesota Monthly,https://www.minnesotamonthly.com/,Center,3/6
Minnesota Native News,https://minnesotanativenews.org/,Center,8/8
Minnesota News Network,https://minnesotanewsnetwork.com/,Center,14/15
Minnesota Public Radio,https://www.mpr.org/,Center,21/52
Minnesota Reformer,https://minnesotareformer.com/,Left,37/26
Minnesota Spokesman Reporter,https://spokesman-recorder.com/,Center,18/19
Minnesota's New Country,https://minnesotasnewcountry.com/,Center,5/8
MinnPost,https://www.minnpost.com/,Center,13/20
MinnPost,https://www.minnpost.com/,Center,16/18
Miranda Devine,https://twitter.com/mirandadevine,Right,98/63
Mises Institute,https://mises.org/,Lean Right,145/93
Misinformation Review,https://misinforeview.hks.harvard.edu/,Center,80/109
Mismatch.org,https://www.mismatch.org/,Mixed,158/164
Mississippi Free Press,https://www.mississippifreepress.org/,Lean Left,6/9
Mississippi Free Press,https://www.mississippifreepress.org/,Lean Left,6/8
Mississippi Today,https://mississippitoday.org/,Center,24/29
Mississippi Today News,https://mississippitoday.org/,Lean Left,4/6
Mississippi Valley Publishing,https://www.mississippivalleypublishing.com/,Center,8/7
Missoulian,https://missoulian.com/,Center,14/15
Missouri Independent,https://missouriindependent.com/,Lean Left,7/7
Missourinet,https://www.missourinet.com/,Center,6/10
MIT News,http://news.mit.edu,Center,366/308
Mitú,,Left,71/66
MLive.com,http://www.mlive.com/,Center,63/105
MLT News,https://mltnews.com/,Center,7/8
MNC News,https://www.953mnc.com/,Center,8/8
Monadnock Ledger-Transcript,ledgertranscript.com,Center,7/8
"Moníca Guzman, Braver Angels",https://braverangels.org/,Lean Left,39/46
Monica Hesse,,Lean Left,19/19
Monroe Sun,https://themonroesun.com/,Center,5/7
Montana Free Press,https://montanafreepress.org/,Lean Left,7/9
Montana Free Press,https://montanafreepress.org/,Center,11/11
Montana Kaimin,http://www.montanakaimin.com/,Center,4/5
Montana Right Now,https://www.montanarightnow.com/,Center,9/9
More in Common,https://www.moreincommon.com/,Center,12/17
Morgan Jacobsen,http://www.deseretnews.com/author/23100/Morgan-Jacobsen.html,Center,118/144
Morgan Messenger,https://www.morganmessenger.com/,Center,13/14
Morning Brew,https://www.morningbrew.com/daily,Lean Left,134/65
Mother Jones,http://www.motherjones.com/,Left,17581/2794
Mountain State Spotlight,https://mountainstatespotlight.org/,Center,8/9
MPR News,https://www.mprnews.org/,Lean Left,16/21
MSNBC,http://www.msnbc.com/,Left,25841/6667
MTV News Online,http://www.mtv.com/news/,Lean Left,211/336
Multiple Writers - Center,,Center,76/84
Multiple Writers - Lean Left,,Lean Left,56/59
Multiple Writers - Lean Right,,Lean Right,59/51
Multiple Writers - Left,,Left,50/34
Multiple Writers - Mixed,,Mixed,74/93
Multiple Writers - Right,,Right,37/29
Muscatine Journal,http://www.muscatinejournal.com/,Center,29/31
My Central Jersey,https://www.mycentraljersey.com/,Center,5/11
My Central Oregon,https://www.mycentraloregon.com/,Center,6/7
My Colorado Springs News,https://mycoloradospringsnews.com/,Center,9/11
My High Plains KAMR,https://www.myhighplains.com/,Center,5/6
My Panhandle News,https://www.mypanhandle.com/,Center,7/8
My Rye,https://myrye.com/,Center,4/6
My Wabash Valley,https://www.mywabashvalley.com/,Center,11/11
NAACP,https://naacp.org,Lean Left,462/906
Naples Daily News,https://www.naplesnews.com/,Center,14/20
Nashville Post,https://www.nashvillepost.com/,Center,8/10
National Catholic Register,https://www.ncregister.com/,Right,47/43
National Committee to Preserve Social Security and Medicare,http://www.ncpssm.org,Left,333/291
National Conference of State Legislatures,https://www.ncsl.org/,Center,29/30
National Constitution Center,https://constitutioncenter.org,Center,228/213
National Federation of Independent Business,https://www.nfib.com/,Lean Right,53/56
National Geographic,https://www.nationalgeographic.com/,Center,402/335
National Institute for Civil Discourse,https://nicd.arizona.edu/,Center,18/19
National Interest,http://nationalinterest.org/,Center,337/479
National Journal,http://www.nationaljournal.com/,Center,1106/871
National Post,https://nationalpost.com/,Lean Right,305/137
National Review (News),nationalreview.com/news/,Lean Right,23362/9895
National Review (Opinion),http://www.nationalreview.com/,Right,238/162
Nature.com,https://www.nature.com,Center,352/284
Nautilus Quarterly,https://nautil.us/,Center,50/54
NBC 10 Boston,https://www.nbcboston.com/,Lean Left,13/18
NBC 12 WWBT,https://www.nbc12.com/,Center,8/8
NBC 15 WMTV,https://www.nbc15.com/,Center,12/12
NBC 29 WVIR,https://www.nbc29.com/,Center,10/11
NBC 4 WCMH,https://www.nbc4i.com/,Center,11/12
NBC 5 Chicago,https://www.nbcchicago.com/,Center,18/19
NBC 5 Plattsburgh,https://www.mynbc5.com/local-news,Center,4/4
NBC 7 San Diego,https://www.nbcsandiego.com/,Lean Left,11/17
NBC Connecticut,https://www.nbcconnecticut.com/,Lean Left,9/14
NBC News (Online),http://www.nbcnews.com,Lean Left,15929/14998
NBC Today Show,http://www.today.com/,Lean Left,1767/1840
Neal K. Katyal,,Lean Left,76/63
NECN,https://www.necn.com/news/local/new-hampshire/,Lean Right,4/5
Neil J. Young,,Lean Left,108/124
Neil Patel,https://dailycaller.com/author/npatel/,Right,50/47
Network for Responsible Public Policy,https://www.nfrpp.org/,Center,10/21
Nevada Appeal,https://www.nevadaappeal.com/,Center,12/12
Nevada Current,https://www.nevadacurrent.com/,Center,5/8
New Discourses,https://newdiscourses.com/,Center,197/208
New Economy Working Group,http://www.ips-dc.org/,Lean Left,136/114
New Hampshire Bulletin,https://newhampshirebulletin.com/,Center,3/6
New Hampshire Public Radio,http://nhpr.org/,Center,9/26
New Hampshire Union Leader,http://www.unionleader.com/,Center,114/129
New Haven Register,http://www.nhregister.com/,Center,14/16
New Jersey Globe,https://newjerseyglobe.com/,Center,42/50
New Jersey Hills Media Group,https://www.newjerseyhills.com/,Center,9/9
New Jersey Local News,https://newjerseylocalnews.com/,Center,8/11
New Jersey Monitor,https://newjerseymonitor.com/,Lean Left,34/37
New Mexico In Depth,http://nmindepth.com/,Center,8/11
New Orleans City Business,https://neworleanscitybusiness.com/,Center,7/9
New Pittsburgh,https://newpittsburghcourier.com/,Left,22/18
New Republic,http://www.newrepublic.com/,Left,2179/958
New Rockford Transcript,https://www.newrockfordtranscript.com/,Center,7/11
New York Daily Gazette,https://newyorkdailygazette.com/,Center,6/7
New York Daily News,http://www.nydailynews.com/,Left,1699/782
New York Focus,https://www.nysfocus.com/,Center,9/11
New York Magazine,http://nymag.com/,Left,2555/1113
New York Post (News),http://www.nypost.com/,Lean Right,19106/10196
New York Post (Opinion),https://nypost.com/opinion/,Right,512/263
New York Times (News),http://www.nytimes.com/,Lean Left,34984/45057
New York Times (Opinion),https://www.nytimes.com/section/opinion,Left,20262/6068
Newark Post,https://www.newarkpostonline.com/,Center,8/12
News & Citizen,https://www.vtcng.com/news_and_citizen/,Center,7/8
News 12 Connecticut,https://connecticut.news12.com/,Center,17/13
News 12 New Jersey,https://newjersey.news12.com/,Center,8/12
News 4 Jax,https://www.news4jax.com/,Center,14/15
News 8000,https://www.news8000.com/,Center,8/9
News 9 Oklahoma,https://www.news9.com/,Center,7/5
News Center Maine,https://www.newscentermaine.com/,Lean Left,34/32
News Channel 6 Wichita Falls,https://www.newschannel6now.com/,Center,6/7
News Dakota,https://www.newsdakota.com/,Center,9/11
News Letter Journal,https://newslj.com/,Center,5/4
News Literacy Project,http://newslit.org/,Center,79/78
News One,https://newsone.com/,Lean Left,13/22
News Radio 1200 WOAI,https://woai.iheart.com/,Center,11/8
NewsBreak,https://www.newsbreak.com/headlines,Lean Left,1/0
NewsBusters,http://www.newsbusters.org,Right,739/412
Newsday,https://www.newsday.com/,Center,26/28
Newsmax (News),http://www.newsmax.com/,Right,13411/12280
Newsmax - Opinion,https://www.newsmax.com/insiders/,Right,760/249
NewsNation,https://www.newsnationnow.com/,Center,1407/1425
NewsOne,https://newsone.com/,Left,307/142
Newstimes,https://www.newstimes.com/,Center,10/13
Newsweek,https://www.newsweek.com/,Center,5917/10874
Newt Gingrich,,Right,938/406
Newtrals,http://newtrals.com/,Center,53/43
NHPR,https://www.nhpr.org/nh-news,Center,4/15
Nicholas Chronicle,https://www.nicholaschronicle.com/,Center,5/7
Nicholas Kristof,,Left,435/415
Nick Anderson (cartoonist),,Center,74/96
Nieman Lab,https://www.niemanlab.org/,Center,158/164
NJ Spotlight News,https://www.njspotlightnews.org/,Lean Left,5/7
nj.com,https://www.nj.com/,Lean Left,49/58
NJ.com News,https://www.nj.com/,Center,8/16
NMPolitics.net,http://nmpolitics.net/,Center,267/325
No Labels,http://www.nolabels.org,Center,179/163
Noah Rothman,https://twitter.com/NoahCRothman,Lean Right,102/95
Noah Smith,https://noahpinion.substack.com/,Lean Left,50/61
Norfolk Daily News,https://norfolkdailynews.com/,Center,8/10
North Carolina Health News,https://www.northcarolinahealthnews.org/,Lean Left,7/8
North Country Public Radio,https://www.northcountrypublicradio.org/,Lean Left,6/21
North Escambia News,http://www.northescambia.com/,Center,6/7
North Jersey News,https://www.northjersey.com/,Center,8/17
North Wright County Today,https://northwrightcounty.today/,Center,12/11
Northern Virginia Magazine,https://northernvirginiamag.com/,Center,4/9
Northwest Arkansas Democrat Gazette,https://www.nwaonline.com/,Center,18/20
NowThis News,https://nowthisnews.com/,Lean Left,68/68
NPR (Online News),http://www.npr.org/,Lean Left,35109/35399
NPR (Opinion),https://www.npr.org/sections/opinion/,Lean Left,10312/12528
NPR Illinois,https://www.nprillinois.org/,Lean Left,9/29
NPR Michigan Radio,https://www.michiganradio.org/,Center,13/28
NPR Utah KUER,https://www.kuer.org/,Center,12/26
NTD,https://www.ntd.com/,Lean Right,40/38
Nutfield News,https://nutfieldnews.net/,Center,7/8
NYNMedia,https://www.nynmedia.com/,Left,27/26
Occupy Democrats,http://occupydemocrats.com/,Left,76/30
Odessa American,https://www.oaoa.com/,Center,8/9
Ohio Capital Journal,https://ohiocapitaljournal.com/,Lean Left,60/42
Oil City News,https://oilcity.news/,Center,8/8
OilPrice.com,https://oilprice.com/,Center,45/37
OKC Friday,https://okcfriday.com/,Center,6/7
Oklahoma Watch,https://oklahomawatch.org/,Center,6/7
Omaha World-Herald,https://omaha.com/,Center,20/25
One America News Network (OAN),,Right,3798/1953
One Nation News,http://www.onenationnews.com/,Lean Left,11/12
OpenSecrets.org,http://www.opensecrets.org,Center,812/598
Orange County Register,http://www.ocregister.com/,Lean Right,483/404
Oregon Public Broadcasting,http://opb.org/,Center,15/40
Orlando Sentinel,https://www.orlandosentinel.com/,Center,48/97
Ottumwa Courier,https://www.ottumwacourier.com/,Center,39/39
Ottumwa Post,https://ottumwapost.com/,Center,9/10
Ouachita Citizen,https://www.hannapub.com/ouachitacitizen/,Center,9/10
Our.News,,Center,47/48
Out,https://www.out.com/,Left,19/12
Out In Jersey,https://outinjersey.net,Lean Left,11/18
OutKick,https://www.outkick.com/,Lean Right,98/195
Pacific Research Institute,http://www.pacificresearch.org/,Right,264/269
Pacific Standard,http://www.psmag.com/,Lean Left,495/454
Pahrump Valley Times,https://pvtimes.com/,Center,8/7
Paintsville Herald,https://www.paintsvilleherald.com/,Center,10/12
Palestine Herald-Press,https://www.palestineherald.com/,Center,5/7
Palladium Magazine,https://www.palladiummag.com/,Center,13/19
Palm Beach News Central,https://palmbeachnewscentral.com/,Center,10/12
Palm Springs Desert Sun,https://www.desertsun.com/news/,Center,43/48
Panola Watchman,https://www.panolawatchman.com/,Center,4/6
Park Record,https://www.parkrecord.com/,Center,12/11
Pasadena Now,https://www.pasadenanow.com/main/,Center,8/7
Pasadena Star-News,https://www.pasadenastarnews.com/,Center,59/64
Pat Buchanan,,Right,282/135
Pat Oliphant (cartoonist),,Center,89/100
Patch.com,https://patch.com/,Center,81/151
Paul Brandus,https://twitter.com/WestWingReport,Center,34/46
Paul Krugman,https://www.nytimes.com/column/paul-krugman,Left,829/483
Paul Mulholland,https://linktr.ee/paulisconi,Lean Left,30/42
Paul Szep (cartoonist),,Center,90/86
Paul Volcker,https://en.wikipedia.org/wiki/Paul_Volcker,Center,108/91
Paul Waldman,https://www.washingtonpost.com/people/paul-waldman/,Left,57/41
PBS NewsHour,http://www.pbs.org/newshour/,Lean Left,4319/3392
Pea Ridge Times,https://prt.nwaonline.com/,Center,9/10
Peacock Panache,http://www.peacock-panache.com/,Left,246/144
Peak of Ohio,https://www.peakofohio.com/,Center,6/8
Pedro Silva,,Center,53/77
Peggy Noonan,http://www.peggynoonan.com/,Right,460/734
Peninsula Clarion,http://peninsulaclarion.com/,Center,25/23
Pennsylvania Capital-Star,https://www.penncapital-star.com/,Lean Right,44/51
Pensacola News Journal,https://www.pnj.com/,Center,15/17
People,https://people.com/,Lean Left,65/69
People for the American Way,http://www.pfaw.org,Left,433/272
Peoria Journal Star,https://www.pjstar.com/,Center,10/9
Persuasion,https://www.persuasion.community/,Center,18/19
Pete Weichlein,,Center,15/20
Peter Boghossian,https://peterboghossian.com/,Center,16/10
Peter Roff,https://twitter.com/PeterRoff,Lean Right,403/212
Peter Thiel,,Lean Right,138/188
Pew Research Center,https://www.pewresearch.org/,Center,3054/1886
Philadelphia Gay News,https://epgn.com/,Lean Left,16/22
Phillip Bader,,Center,59/72
Phoenix New Times,https://www.phoenixnewtimes.com/,Center,4/7
Phoenix New Times,https://www.phoenixnewtimes.com/,Center,8/13
Phys.org,http://phys.org/,Center,331/203
Physicians for a National Health Program,http://www.pnhp.org/,Left,283/194
Physicians for Life,,Lean Right,29/49
Piers Morgan,,Lean Left,589/1115
PinkNews,https://www.thepinknews.com/,Left,279/97
Pioneer Press,https://www.twincities.com/,Center,16/21
Pittsburgh Post-Gazette,http://www.post-gazette.com,Center,426/525
Pittsburgh Tribune-Review,https://triblive.com/,Center,12/25
PJ Media,,Right,829/363
Plainsman,https://www.plainsman.com/,Center,7/8
Plaquemines Gazette,https://www.plaqueminesgazette.com/,Center,8/9
Political Empathy Project,https://www.politicalempathyproject.org/,Center,17/18
Politico,http://www.politico.com/,Lean Left,26072/33419
Politics PA,https://www.politicspa.com/,Lean Left,6/9
PoliticusUSA,http://www.politicususa.com/,Left,1255/455
Pope County Tribune,https://pctribune.com/,Center,16/17
Port Aransas South Jetty News,https://www.portasouthjetty.com/,Center,8/9
Portland Press Herald,http://www.pressherald.com/,Center,334/510
Post Independent,https://www.postindependent.com/,Center,8/9
Post Register,https://www.postregister.com/,Center,15/16
Post-Bulletin,https://www.postbulletin.com/,Center,21/18
Poughkeepsie Journal,https://www.poughkeepsiejournal.com/,Center,11/12
Poynter,https://www.poynter.org/,Center,241/536
Prager University,http://www.prageru.com,Right,4274/1017
Premier Christian News,https://premierchristian.news/,Lean Left,18/16
PRI (Public Radio International),http://www.pri.org/,Center,854/602
Progressive Voices of Iowa,https://progressivevoicesofiowa.com/,Left,320/189
Project Veritas,https://www.projectveritas.com/,Right,658/653
ProPublica,http://www.propublica.org/,Lean Left,2299/1558
Psych Central,https://psychcentral.com/,Center,21/33
Psychology Today,,Center,213/261
Public News Service,https://www.publicnewsservice.org/,Center,14/19
Quartz,http://qz.com/,Center,856/1005
Queerty,https://www.queerty.com/,Left,32/14
Quillette,,Lean Right,698/1024
Quin Hillyer,,Lean Right,37/46
Quinnipiac University,https://www.qu.edu/,Center,324/557
Rachel Eckhardt,,Lean Left,100/123
Radio Iowa,https://www.radioiowa.com/,Center,11/12
Rahm Emanuel,,Lean Left,114/337
Ralph Benko,https://ralphbenko.com,Right,142/174
Ramesh Ponnuru,,Right,216/195
RAND Corporation,http://www.rand.org,Lean Left,661/897
Rand Paul,,Lean Right,649/569
Rapid City Journal,https://rapidcityjournal.com/,Center,16/16
Rasmussen Reports,,Lean Right,772/1087
Raw Story,http://www.rawstory.com/,Left,1912/745
Reading Eagle,https://www.readingeagle.com/,Center,12/12
RealClearPolitics,http://www.realclearpolitics.com/,Center,4716/5800
Reason,https://reason.com/,Lean Right,10624/6768
Reason Foundation,http://reason.org/,Lean Right,382/419
Rebecca Sheehan,https://rebeccasheehan.substack.com/,Lean Right,42/47
Record Journal,http://www.myrecordjournal.com/home/,Center,209/218
Record-Courier,https://www.recordcourier.com/,Center,10/12
Red Lake Nation News,https://www.redlakenationnews.com/,Center,19/16
Red Racing Horses,,Right,79/90
RedBlueDictionary.org,http://redbluedictionary.org/,Mixed,223/176
redefinED,http://www.redefinedonline.org/,Center,192/113
Redlands Daily Facts,https://www.redlandsdailyfacts.com/,Center,42/49
RedState,https://twitter.com/RedState,Right,1003/388
Refinery29,https://www.refinery29.com/,Left,156/102
Register Citizen,https://www.registercitizen.com/,Lean Left,16/17
Relevant Magazine,https://relevantmagazine.com/,Lean Left,11/15
Religion News Service,https://religionnews.com/,Center,20/34
Rem Reider,,Center,135/143
Reno News & Review,https://renonr.com/,Center,12/11
Republican Party,https://www.gop.com/,Lean Right,263/355
Reuters,http://www.reuters.com/,Center,23558/14162
"Rev. Barbara Ann Michaels, Jester of the Peace",http://JesterOfThePeace.com,Lean Left,15/25
Rev. Jesse Jackson Sr.,https://en.wikipedia.org/wiki/Jesse_Jackson,Left,714/243
Revolver News,https://www.revolver.news/,Right,101/72
Rex Huppke,https://twitter.com/RexHuppke,Left,158/32
Rich Lowry,,Right,383/362
Rich Tafel,,Center,118/108
Rich Zeoli,,Lean Right,144/113
Richard K. Sherman,https://www.researchgate.net/profile/Richard-Sherwin,Lean Left,21/21
Richard M. Cohen,https://www.facebook.com/RichardCohenColumn/,Lean Left,79/80
Richard Perrins,https://thefulcrum.us/,Center,23/32
Richardson Today,https://richardsontoday.com/,Center,4/6
Richland Source,https://www.richlandsource.com/,Center,6/8
Richmond Times Dispatch,http://www.richmond.com/,Lean Right,347/344
Rick Snyder,,Lean Right,36/36
Rick Ungar,http://www.forbes.com/sites/rickungar/,Lean Left,209/191
Rick Wytmar,,Lean Left,51/68
Right Guest Commentaries,,Right,115/89
Right Side News,http://www.rightsidenews.com/,Right,569/300
Right Wing News,https://rightwingnews.com/,Right,493/257
Ripon Commonwealth Press,https://www.riponpress.com/,Center,8/6
Risen Magazine,https://www.risenmagazine.com/,Center,18/12
Rob Anderson,https://www.researchgate.net/profile/Rob-Anderson-2,Lean Left,7/10
Rob Rogers (cartoonist),,Left,115/47
Robbie Robinette,https://www.linkedin.com/in/robbie-robinette-05496/,Center,17/24
Robby Soave,,Lean Right,65/50
Robert Ariail (cartoonist),,Center,96/112
Robert Reich,,Left,113/66
Robert Samuelson,,Center,174/198
Robert Verbruggen,,Lean Right,42/40
Robert Weissman,,Lean Left,19/19
Rockwall Herald Banner,https://www.rockwallheraldbanner.com/,Center,4/4
Rod Blagojevich,,Center,64/181
Rod Eccles,https://thelibertycafe.wordpress.com/,Right,11/11
Rogue River Press,http://www.rogueriverpress.com/,Center,8/10
Rolf Hendriks,,Center,68/72
Roll Call,,Center,369/378
RollingStone.com,http://www.rollingstone.com/,Left,2657/668
Ron Suskind,ronsuskind.com,Center,28/28
Rose Mercer,https://www.linkedin.com/in/rose-mercer-1000a91b2/,Lean Left,26/33
Ross Douthat,,Lean Right,298/222
RT,https://www.rt.com/,Lean Right,238/319
Russell Brandom,,Center,46/56
Ruston Daily Leader,http://www.rustonleader.com/,Center,20/20
Ruth Marcus,,Lean Left,325/344
Rutland Herald,https://www.rutlandherald.com/,Center,12/11
Ryan Bomberger,,Right,46/34
Ryan Cooper,,Left,164/122
Ryan Cooper,,Left,612/166
S.E. Cupp,,Lean Right,153/221
Saagar Enjeti,,Center,223/237
Salem News,https://www.salemnews.net/,Center,8/13
